" 3D Run ID";"ls";"wl";"i";"l1";"L"
"1";"80";"2";"0.8";"15.3061";"29.5"
"2";"80";"2";"0.8";"15.3061";"45"
"3";"80";"2";"0.8";"15.3061";"70"
"4";"80";"4";"0.8";"15.3061";"45"
"5";"80";"1";"0.8";"15.3061";"45"
"6";"80";"1";"0.8";"15.3061";"50"
"7";"80";"1";"2";"15.3061";"50"
"8";"80";"2";"2";"15.3061";"60"
"9";"100";"2";"3";"15.3061";"60"
"10";"100";"2";"3";"15.3061";"80"
"11";"100";"3";"3";"15.3061";"70"
"12";"100";"3";"3";"15.3061";"30"
"13";"100";"0.5";"0.5";"7.65306";"30"
"14";"100";"0.5";"0.5";"7.65306";"40"
"15";"100";"0.5";"0.5";"7.65306";"37"
"16";"100";"1";"0.5";"7.65306";"37"
"17";"100";"0.2";"0.5";"7.65306";"35"
"18";"100";"0.2";"0.5";"7.65306";"40"
"0";"";"";"";"";""
