" 3D Run ID";"L";"i";"l1";"ls";"wl";"ws"
"1";"40";"0.5";"7.65306";"100";"0.2";"30"
"2";"30";"0.5";"7.65306";"100";"0.2";"30"
"3";"27";"0.5";"7.65306";"100";"0.2";"30"
"4";"33";"0.5";"7.65306";"100";"0.2";"30"
"5";"32";"0.5";"7.65306";"100";"0.2";"30"
"6";"32";"0.5";"7.65306";"100";"2";"30"
"7";"32";"1.5";"7.65306";"100";"2";"30"
"8";"75";"1.5";"7.65306";"100";"2";"30"
"9";"75";"1.5";"20.4082";"100";"2";"50"
"10";"75";"0.8";"20.4082";"100";"2";"50"
"11";"75";"0.8";"20.4082";"80";"1.7";"30"
"12";"19.5";"0.8";"4";"120";"1.7";"30"
"13";"25";"0.8";"4";"120";"1.7";"30"
"14";"29";"0.8";"7";"120";"1.7";"30"
"15";"27";"0.8";"5";"120";"1.7";"30"
"16";"23";"0.8";"7";"120";"1.7";"30"
"17";"29";"0.8";"3";"120";"1.7";"30"
"18";"31";"0.8";"2";"100";"1.7";"20"
"19";"32";"0.8";"2";"100";"1.7";"20"
"0";"";"";"";"";"";""
